"","Subj","Item","Cond","Cond.Incongruent","Age","Age.Old","u0s","u1s","u0i","u1i","sigma","LookingTime"
"1","Subj01","Item01","Congruent",0,"Young",0,-413.194807505672,26.2475268542793,-306.396711511778,56.8836222684413,-26.3288805363191,-395.920399553769
"2","Subj01","Item01","Incongruent",1,"Young",0,-413.194807505672,26.2475268542793,-306.396711511778,56.8836222684413,-160.767357622601,52.9722724826694
"3","Subj01","Item02","Congruent",0,"Young",0,-413.194807505672,26.2475268542793,-55.4005234857556,69.0960874688636,24.4810323701074,-94.1142986213203
"4","Subj01","Item02","Incongruent",1,"Young",0,-413.194807505672,26.2475268542793,-55.4005234857556,69.0960874688636,-54.4107623441925,422.537520987523
"5","Subj01","Item03","Congruent",0,"Young",0,-413.194807505672,26.2475268542793,-17.362542634476,-7.03304310948265,88.5020321981008,7.94468205795275
"6","Subj01","Item03","Incongruent",1,"Young",0,-413.194807505672,26.2475268542793,-17.362542634476,-7.03304310948265,214.863289159649,653.720422764297
"7","Subj01","Item04","Congruent",0,"Young",0,-413.194807505672,26.2475268542793,21.5877293125905,49.9773566455746,-148.903876666424,-190.510954859505
"8","Subj01","Item04","Incongruent",1,"Young",0,-413.194807505672,26.2475268542793,21.5877293125905,49.9773566455746,68.1975446370424,603.015349943815
"9","Subj01","Item05","Congruent",0,"Young",0,-413.194807505672,26.2475268542793,238.84088522872,12.7914492069854,12.7347088017731,188.380786524822
"10","Subj01","Item05","Incongruent",1,"Young",0,-413.194807505672,26.2475268542793,238.84088522872,12.7914492069854,134.334837339682,849.219891123995
"11","Subj01","Item06","Congruent",0,"Young",0,-413.194807505672,26.2475268542793,-123.501782434332,14.413953563346,-34.46672084194,-221.163310781944
"12","Subj01","Item06","Incongruent",1,"Young",0,-413.194807505672,26.2475268542793,-123.501782434332,14.413953563346,125.492860269092,479.657750746714
"13","Subj01","Item07","Congruent",0,"Young",0,-413.194807505672,26.2475268542793,41.8298196198563,32.2907972486825,-261.758379200504,-283.12336708632
"14","Subj01","Item07","Incongruent",1,"Young",0,-413.194807505672,26.2475268542793,41.8298196198563,32.2907972486825,253.418838197006,790.792174414152
"15","Subj01","Item08","Congruent",0,"Young",0,-413.194807505672,26.2475268542793,31.2875967264959,100.860875831508,129.716696777787,97.8094859986106
"16","Subj01","Item08","Incongruent",1,"Young",0,-413.194807505672,26.2475268542793,31.2875967264959,100.860875831508,-22.6163983328622,572.784793573749
"17","Subj01","Item09","Congruent",0,"Young",0,-413.194807505672,26.2475268542793,-189.835738472004,49.9092781363053,-217.351069520875,-470.381615498551
"18","Subj01","Item09","Incongruent",1,"Young",0,-413.194807505672,26.2475268542793,-189.835738472004,49.9092781363053,96.4513050062972,419.777564019205
"19","Subj01","Item10","Congruent",0,"Young",0,-413.194807505672,26.2475268542793,-163.874319821798,-17.5104596745399,72.4790795722151,-154.590047755255
"20","Subj01","Item10","Incongruent",1,"Young",0,-413.194807505672,26.2475268542793,-163.874319821798,-17.5104596745399,-0.953343963208307,280.914595889061
"21","Subj01","Item11","Congruent",0,"Young",0,-413.194807505672,26.2475268542793,-276.924947100105,-42.537520670696,22.7183839293637,-317.401370676414
"22","Subj01","Item11","Incongruent",1,"Young",0,-413.194807505672,26.2475268542793,-276.924947100105,-42.537520670696,-87.6163455524706,56.1739060253353
"23","Subj01","Item12","Congruent",0,"Young",0,-413.194807505672,26.2475268542793,93.9461191413336,29.1442865362817,55.3210098945363,86.0723215301979
"24","Subj01","Item12","Incongruent",1,"Young",0,-413.194807505672,26.2475268542793,93.9461191413336,29.1442865362817,44.1981509579273,630.54127598415
"25","Subj01","Item13","Congruent",0,"Young",0,-413.194807505672,26.2475268542793,-130.058572022164,-6.91991919689704,-41.8889060013863,-235.142285529222
"26","Subj01","Item13","Incongruent",1,"Young",0,-413.194807505672,26.2475268542793,-130.058572022164,-6.91991919689704,-200.435498233973,125.838729895573
"27","Subj01","Item14","Congruent",0,"Young",0,-413.194807505672,26.2475268542793,-275.28104119598,-69.6549063106836,105.112322766005,-233.363525935647
"28","Subj01","Item14","Incongruent",1,"Young",0,-413.194807505672,26.2475268542793,-275.28104119598,-69.6549063106836,83.129493341105,201.446265183049
"29","Subj01","Item15","Congruent",0,"Young",0,-413.194807505672,26.2475268542793,225.880161879147,-58.5313221011441,-125.445988920212,37.2393654532626
"30","Subj01","Item15","Incongruent",1,"Young",0,-413.194807505672,26.2475268542793,225.880161879147,-58.5313221011441,-239.188224300936,391.413334825674
"31","Subj01","Item16","Congruent",0,"Young",0,-413.194807505672,26.2475268542793,169.293390806639,62.755358116092,30.7437870881451,136.842370389112
